run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260529_163907_001,low,treatment,low_treatment_20260529_163907_001,completed,20260529_163911,2026-05-29T16:47:48+0200,3,9,6,12,27,21,147837,103351,251188,516.3497,Candidate D,consensus,Candidate C,0,0.931565,0.929052,0.934644,01_data/raw/simulations/low/low_treatment_20260529_163907_001/metadata.json,0,0,0,3,0.930998,0.929052,0.934644
low_treatment_20260529_163907_002,low,treatment,low_treatment_20260529_163907_002,completed,20260529_164751,2026-05-29T17:01:45+0200,5,15,9,18,45,33,240914,160667,401581,834.2396,Candidate C,max_round_majority_vote,Candidate C,1,0.942133,0.93957,0.944392,01_data/raw/simulations/low/low_treatment_20260529_163907_002/metadata.json,0,1,2,0,0.944392,0.942436,0.93957
low_treatment_20260529_163907_003,low,treatment,low_treatment_20260529_163907_003,completed,20260529_170148,2026-05-29T17:17:36+0200,5,15,13,26,44,41,277658,178113,455771,947.8176,Candidate C,consensus,Candidate C,1,0.937942,0.922359,0.955182,01_data/raw/simulations/low/low_treatment_20260529_163907_003/metadata.json,0,0,3,0,0.922359,0.955182,0.936285
low_treatment_20260529_163907_004,low,treatment,low_treatment_20260529_163907_004,completed,20260529_171739,2026-05-29T17:27:04+0200,3,9,11,22,26,31,175854,104771,280625,564.403,Candidate C,consensus,Candidate C,1,0.946371,0.941119,0.95341,01_data/raw/simulations/low/low_treatment_20260529_163907_004/metadata.json,0,0,3,0,0.944583,0.95341,0.941119
low_treatment_20260529_163907_005,low,treatment,low_treatment_20260529_163907_005,completed,20260529_172707,2026-05-29T17:32:37+0200,2,6,5,10,18,16,97485,63985,161470,330.3727,Candidate C,consensus,Candidate C,1,0.949304,0.933162,0.958113,01_data/raw/simulations/low/low_treatment_20260529_163907_005/metadata.json,0,0,3,0,0.956638,0.958113,0.933162
low_treatment_20260529_163907_006,low,treatment,low_treatment_20260529_163907_006,completed,20260529_173241,2026-05-29T17:38:20+0200,2,6,4,8,18,14,98596,65146,163742,339.7578,Candidate C,consensus,Candidate C,1,0.951129,0.94676,0.954732,01_data/raw/simulations/low/low_treatment_20260529_163907_006/metadata.json,0,0,3,0,0.951895,0.954732,0.94676
low_treatment_20260529_163907_007,low,treatment,low_treatment_20260529_163907_007,completed,20260529_173824,2026-05-29T17:47:35+0200,3,9,10,20,27,29,170439,107195,277634,551.8359,Candidate B,consensus,Candidate C,0,0.941533,0.935939,0.944728,01_data/raw/simulations/low/low_treatment_20260529_163907_007/metadata.json,0,3,0,0,0.944728,0.943931,0.935939
low_treatment_20260529_163907_008,low,treatment,low_treatment_20260529_163907_008,completed,20260529_174738,2026-05-29T18:02:29+0200,2,6,5,10,18,16,96325,61563,157888,890.7376,Candidate A,consensus,Candidate C,0,0.948116,0.938364,0.964094,01_data/raw/simulations/low/low_treatment_20260529_163907_008/metadata.json,3,0,0,0,0.964094,0.941889,0.938364
low_treatment_20260529_163907_009,low,treatment,low_treatment_20260529_163907_009,completed,20260529_180233,2026-05-29T18:08:57+0200,2,6,7,14,18,20,113793,73560,187353,383.8389,Candidate C,consensus,Candidate C,1,0.930993,0.913425,0.949294,01_data/raw/simulations/low/low_treatment_20260529_163907_009/metadata.json,0,0,3,0,0.949294,0.930259,0.913425
low_treatment_20260529_163907_010,low,treatment,low_treatment_20260529_163907_010,completed,20260529_180900,2026-05-29T18:22:20+0200,4,12,9,18,35,30,219148,150075,369223,799.6419,Candidate C,consensus,Candidate C,1,0.942429,0.939223,0.947678,01_data/raw/simulations/low/low_treatment_20260529_163907_010/metadata.json,0,0,3,0,0.947678,0.939223,0.940386
