run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d
low_treatment_20260529_225804_001,low,treatment,low_treatment_20260529_225804_001,completed,20260529_225808,2026-05-29T23:07:12+0200,5,15,14,28,45,43,201517,104106,305623,543.4395,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_001/metadata.json,0,1,2,0
low_treatment_20260529_225804_002,low,treatment,low_treatment_20260529_225804_002,completed,20260529_230715,2026-05-29T23:13:04+0200,3,9,7,14,27,23,112391,64636,177027,348.8077,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_002/metadata.json,0,0,3,0
low_treatment_20260529_225804_003,low,treatment,low_treatment_20260529_225804_003,completed,20260529_231307,2026-05-29T23:22:02+0200,5,15,10,20,45,35,180856,101919,282775,535.311,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_003/metadata.json,0,1,2,0
low_treatment_20260529_225804_004,low,treatment,low_treatment_20260529_225804_004,completed,20260529_232205,2026-05-29T23:25:32+0200,2,6,5,10,18,16,76516,37612,114128,206.9917,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_004/metadata.json,0,0,3,0
low_treatment_20260529_225804_005,low,treatment,low_treatment_20260529_225804_005,completed,20260529_232536,2026-05-29T23:34:42+0200,5,15,13,26,45,41,195590,100355,295945,546.7725,Candidate B,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_005/metadata.json,0,2,1,0
low_treatment_20260529_225804_006,low,treatment,low_treatment_20260529_225804_006,completed,20260529_233446,2026-05-29T23:38:04+0200,2,6,3,6,18,12,66233,37031,103264,198.1466,Candidate C,consensus,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_006/metadata.json,0,0,3,0
low_treatment_20260529_225804_007,low,treatment,low_treatment_20260529_225804_007,completed,20260529_233807,2026-05-29T23:46:35+0200,5,15,11,22,45,37,184351,95552,279903,508.0867,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_007/metadata.json,1,0,2,0
low_treatment_20260529_225804_008,low,treatment,low_treatment_20260529_225804_008,completed,20260529_234638,2026-05-29T23:55:59+0200,5,15,14,28,45,43,198197,102413,300610,561.2247,Candidate D,max_round_majority_vote,Candidate C,0,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_008/metadata.json,0,1,0,2
low_treatment_20260529_225804_009,low,treatment,low_treatment_20260529_225804_009,completed,20260529_235603,2026-05-30T00:05:40+0200,5,15,13,26,45,41,194737,106989,301726,576.9359,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_009/metadata.json,0,1,2,0
low_treatment_20260529_225804_010,low,treatment,low_treatment_20260529_225804_010,completed,20260530_000543,2026-05-30T00:14:24+0200,5,15,11,22,45,37,181403,97323,278726,520.4088,Candidate C,max_round_majority_vote,Candidate C,1,,,,01_data/raw/simulations/low/low_treatment_20260529_225804_010/metadata.json,0,1,2,0
