run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_emily_brooks_james_carter,similarity_emily_brooks_sarah_mitchell,similarity_james_carter_sarah_mitchell
low_treatment_20260604_140134_001,low,treatment,low_treatment_20260604_140134_001,completed,20260604_140138,2026-06-04T14:06:05+0200,2,6,5,10,18,16,92281,54274,146555,321290.83,266.5368,Candidate C,consensus,Candidate C,1,0.952817,0.947426,0.959837,0.952817,0.611111,0.582277,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_001/metadata.json,0,0,3,0,0.951189,0.959837,0.947426
low_treatment_20260604_140134_002,low,treatment,low_treatment_20260604_140134_002,completed,20260604_140608,2026-06-04T14:27:46+0200,5,15,14,28,44,43,253543,135194,388737,321290.83,1297.538,Candidate C,max_round_majority_vote,Candidate C,1,0.938084,0.932943,0.946521,0.938084,0.777778,0.729621,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_002/metadata.json,0,1,2,0,0.932943,0.934789,0.946521
low_treatment_20260604_140134_003,low,treatment,low_treatment_20260604_140134_003,completed,20260604_142749,2026-06-04T14:34:18+0200,3,9,7,14,27,23,136608,75095,211703,321290.83,388.3613,Candidate C,consensus,Candidate C,1,0.946319,0.936454,0.962167,0.946319,0.777778,0.736026,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_003/metadata.json,0,0,3,0,0.936454,0.962167,0.940336
low_treatment_20260604_140134_004,low,treatment,low_treatment_20260604_140134_004,completed,20260604_143421,2026-06-04T14:38:56+0200,2,6,3,6,18,12,83915,52589,136504,321290.83,274.8181,Candidate C,consensus,Candidate C,1,0.930704,0.926387,0.935436,0.930704,0.722222,0.672175,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_004/metadata.json,0,0,3,0,0.93029,0.935436,0.926387
low_treatment_20260604_140134_005,low,treatment,low_treatment_20260604_140134_005,completed,20260604_143859,2026-06-04T14:45:32+0200,3,9,6,12,26,21,138910,76930,215840,321290.83,392.6454,Candidate C,consensus,Candidate C,1,0.945781,0.934619,0.953962,0.945781,0.833333,0.788151,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_005/metadata.json,0,0,3,0,0.948762,0.953962,0.934619
low_treatment_20260604_140134_006,low,treatment,low_treatment_20260604_140134_006,completed,20260604_144535,2026-06-04T14:50:52+0200,2,6,7,14,18,20,106881,59324,166205,321290.83,316.7783,Candidate D,consensus,Candidate C,0,0.942963,0.933154,0.956206,0.942963,0.5,0.471481,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_006/metadata.json,0,0,0,3,0.933154,0.956206,0.939529
low_treatment_20260604_140134_007,low,treatment,low_treatment_20260604_140134_007,completed,20260604_145055,2026-06-04T14:55:30+0200,2,6,6,12,18,18,95707,51817,147524,321290.83,275.3868,Candidate B,consensus,Candidate C,0,0.93498,0.925707,0.944103,0.93498,0.611111,0.571377,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_007/metadata.json,0,3,0,0,0.93513,0.944103,0.925707
low_treatment_20260604_140134_008,low,treatment,low_treatment_20260604_140134_008,completed,20260604_145533,2026-06-04T15:00:36+0200,2,6,9,18,16,24,118306,57346,175652,321290.83,302.2784,Candidate C,consensus,Candidate C,1,0.932972,0.918039,0.954713,0.932972,0.777778,0.725645,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_008/metadata.json,0,0,3,0,0.918039,0.926165,0.954713
low_treatment_20260604_140134_009,low,treatment,low_treatment_20260604_140134_009,completed,20260604_150039,2026-06-04T15:05:21+0200,2,6,6,12,16,18,97532,52664,150196,321290.83,281.888,Candidate C,consensus,Candidate C,1,0.943661,0.938775,0.951988,0.943661,0.666667,0.629108,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_009/metadata.json,0,0,3,0,0.940219,0.938775,0.951988
low_treatment_20260604_140134_010,low,treatment,low_treatment_20260604_140134_010,completed,20260604_150524,2026-06-04T15:09:37+0200,2,6,4,8,17,14,89509,48577,138086,321290.83,252.4038,Candidate C,consensus,Candidate C,1,0.930567,0.9235,0.940531,0.930567,0.555556,0.516982,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_010/metadata.json,0,0,3,0,0.92767,0.9235,0.940531
