run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d
moderate_treatment_20260608_192144_001,moderate,treatment,moderate_treatment_001,completed,20260608_192146,2026-06-08T19:27:13+0200,2,6,4,8,17,14,110329,64584,174913,,326.4543,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_001/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_002,moderate,treatment,moderate_treatment_002,completed,20260608_192715,2026-06-08T19:33:59+0200,2,6,5,10,18,16,115278,74011,189289,,403.5279,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_002/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_003,moderate,treatment,moderate_treatment_003,completed,20260608_193402,2026-06-08T19:47:48+0200,4,12,9,18,36,30,284689,152669,437358,,825.8341,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_003/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_004,moderate,treatment,moderate_treatment_004,completed,20260608_194751,2026-06-08T19:56:47+0200,3,9,7,14,26,23,196570,100821,297391,,536.0094,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_004/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_005,moderate,treatment,moderate_treatment_005,completed,20260608_195650,2026-06-08T20:08:21+0200,3,9,9,18,27,27,220857,120749,341606,,690.9988,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_005/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_006,moderate,treatment,moderate_treatment_006,completed,20260608_200824,2026-06-08T20:13:49+0200,2,6,5,10,18,16,113233,61866,175099,,324.6512,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_006/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_007,moderate,treatment,moderate_treatment_007,completed,20260608_201352,2026-06-08T20:30:52+0200,5,15,6,12,45,27,345742,187853,533595,,1019.8895,Candidate D,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_007/metadata.json,0,0,0,3
moderate_treatment_20260608_192144_008,moderate,treatment,moderate_treatment_008,completed,20260608_203055,2026-06-08T20:36:48+0200,2,6,6,12,18,18,127199,67292,194491,,353.662,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_008/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_009,moderate,treatment,moderate_treatment_009,completed,20260608_203651,2026-06-08T20:42:42+0200,2,6,4,8,17,14,105840,66218,172058,,350.5035,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_009/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_010,moderate,treatment,moderate_treatment_010,completed,20260608_204246,2026-06-08T20:48:09+0200,2,6,2,4,18,10,91662,63311,154973,,323.6848,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_010/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_011,moderate,treatment,moderate_treatment_011,completed,20260608_204812,2026-06-08T20:54:11+0200,2,6,3,6,18,12,103863,70255,174118,,359.264,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_011/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_012,moderate,treatment,moderate_treatment_012,completed,20260608_205414,2026-06-08T21:06:50+0200,4,12,9,18,35,30,295386,142148,437534,,755.3184,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_012/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_013,moderate,treatment,moderate_treatment_013,completed,20260608_210653,2026-06-08T21:12:14+0200,2,6,4,8,17,14,104936,61723,166659,,321.5046,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_013/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_014,moderate,treatment,moderate_treatment_014,completed,20260608_211217,2026-06-08T21:28:22+0200,5,15,7,14,43,29,354235,178327,532562,,964.6903,Candidate C,max_round_majority_vote,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_014/metadata.json,0,1,2,0
moderate_treatment_20260608_192144_015,moderate,treatment,moderate_treatment_015,completed,20260608_212825,2026-06-08T21:34:20+0200,2,6,6,12,17,18,126155,68071,194226,,355.3421,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_015/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_016,moderate,treatment,moderate_treatment_016,completed,20260608_213423,2026-06-08T21:39:46+0200,2,6,7,14,18,20,125120,59836,184956,,322.6798,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_016/metadata.json,0,0,3,0
