run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_agent_1_agent_2,similarity_agent_1_agent_3,similarity_agent_2_agent_3
low_treatment_20260611_105831_001,low,treatment,low_treatment_001,completed,20260611_105834,2026-06-11T11:12:39+0200,3,9,10,20,25,29,158135,103553,261688,391205.38,844.3346,Candidate C,consensus,Candidate C,1,0.93164,0.916979,0.943782,0.93164,0.888889,0.828125,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_001/metadata.json,0,0,3,0,0.93416,0.916979,0.943782
low_treatment_20260611_105831_002,low,treatment,low_treatment_002,completed,20260611_111241,2026-06-11T11:28:36+0200,4,12,12,24,35,36,216784,127095,343879,391205.38,954.2055,Candidate C,consensus,Candidate C,1,0.94964,0.94679,0.953964,0.94964,0.777778,0.738609,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_002/metadata.json,0,0,3,0,0.953964,0.948165,0.94679
low_treatment_20260611_105831_003,low,treatment,low_treatment_003,completed,20260611_112839,2026-06-11T11:41:37+0200,3,9,8,16,27,25,152598,103428,256026,391205.38,778.1913,Candidate C,consensus,Candidate C,1,0.920955,0.902333,0.941179,0.920955,0.833333,0.767462,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_003/metadata.json,0,0,3,0,0.919352,0.941179,0.902333
low_treatment_20260611_105831_004,low,treatment,low_treatment_004,completed,20260611_114140,2026-06-11T11:48:49+0200,2,6,4,8,17,14,85864,57471,143335,391205.38,428.6689,Candidate C,consensus,Candidate C,1,0.947875,0.943148,0.952783,0.947875,0.722222,0.684576,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_004/metadata.json,0,0,3,0,0.952783,0.943148,0.947695
low_treatment_20260611_105831_005,low,treatment,low_treatment_005,completed,20260611_114852,2026-06-11T12:06:01+0200,4,12,10,20,36,32,202046,139529,341575,391205.38,1029.2531,Candidate B,consensus,Candidate C,0,0.936164,0.923758,0.959593,0.936164,0.611111,0.5721,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_005/metadata.json,0,3,0,0,0.92514,0.923758,0.959593
low_treatment_20260611_105831_006,low,treatment,low_treatment_006,completed,20260611_120604,2026-06-11T12:17:17+0200,3,9,4,8,27,17,126079,95570,221649,391205.38,673.1096,Candidate C,consensus,Candidate C,1,0.955392,0.949265,0.958856,0.955392,0.722222,0.690005,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_006/metadata.json,0,0,3,0,0.958054,0.958856,0.949265
low_treatment_20260611_105831_007,low,treatment,low_treatment_007,completed,20260611_121720,2026-06-11T12:35:08+0200,5,15,11,22,45,37,241422,149254,390676,391205.38,1068.3071,Candidate C,consensus,Candidate C,1,0.9494,0.942521,0.95553,0.9494,0.888889,0.843911,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_007/metadata.json,0,0,3,0,0.950148,0.95553,0.942521
low_treatment_20260611_105831_008,low,treatment,low_treatment_008,completed,20260611_123511,2026-06-11T12:46:43+0200,3,9,9,18,27,27,152432,90529,242961,391205.38,691.9131,Candidate C,consensus,Candidate C,1,0.954186,0.947581,0.959323,0.954186,0.722222,0.689134,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_008/metadata.json,0,0,3,0,0.947581,0.959323,0.955655
low_treatment_20260611_105831_009,low,treatment,low_treatment_009,completed,20260611_124646,2026-06-11T13:08:29+0200,5,15,10,20,45,35,229405,171530,400935,391205.38,1302.5108,Candidate C,consensus,Candidate C,1,0.952598,0.94896,0.956786,0.952598,0.777778,0.74091,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_009/metadata.json,0,0,3,0,0.952047,0.94896,0.956786
low_treatment_20260611_105831_010,low,treatment,low_treatment_010,completed,20260611_130832,2026-06-11T13:21:58+0200,3,9,9,18,25,27,164413,101522,265935,391205.38,806.2761,Candidate C,consensus,Candidate C,1,0.959002,0.95096,0.969485,0.959002,0.888889,0.852446,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260611_105831_010/metadata.json,0,0,3,0,0.956561,0.969485,0.95096
