agent_tool_calls,agent_turns,all_evidence_shared_recall,all_evidence_union_recall,condition,cooperation_behavior_score,coordination_accuracy,decision_correct,decision_method,decision_state_accuracy,evidence_quality,final_candidate,important_evidence_shared_recall,important_evidence_union_recall,metadata_file,old_embedding_similarity,old_smm_quality,public_important_fact_recall,quality_penalty,rounds,run_id,similarity_candidate_coverage_checklist,similarity_candidate_review_status,similarity_current_positions,similarity_group_decision_state,similarity_information_distribution,smm_mode,smm_quality_cognitive_only,smm_quality_cognitive_only_raw,smm_quality_prototype,smm_quality_raw,smm_quality_without_decision_state,smm_quality_without_decision_state_raw,smm_whole_similarity,tool_usefulness_score,total_tokens,unsupported_flag_count,vote_revision_score
2,6,0.607407,0.911111,high,0.316941,1.0,0,consensus,0.4,0.565789,Candidate B,0.473684,0.842105,01_data/backup/backup_01/high/high_treatment_20260606_092841_001/metadata.json,0.945265,0.525148,0.184211,0.04,2,high_treatment_20260606_092841_001,0.961111,0.779063,0.628629,0.681203,0.416801,treatment,0.571184,0.611184,0.542146,0.582146,0.584572,0.624572,0.682678,0.8625,199120,2,0.0
2,6,0.481481,0.962963,high,0.496053,1.0,0,consensus,0.6,0.565789,Candidate B,0.421053,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_002/metadata.json,0.958115,0.425828,0.447368,0.0,2,high_treatment_20260606_092841_002,0.826907,0.78939,0.573557,0.721755,0.463281,treatment,0.661184,0.661184,0.649013,0.649013,0.660395,0.660395,0.682018,1.0,192633,0,0.0
0,6,0.540741,0.955556,high,0.115789,1.0,0,consensus,0.466667,0.585526,Candidate B,0.447368,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_003/metadata.json,0.95519,0.424528,0.210526,0.04,2,high_treatment_20260606_092841_003,0.871212,0.772674,0.682259,0.704104,0.324647,treatment,0.598706,0.638706,0.534189,0.574189,0.555197,0.595197,0.665646,0.0,174577,2,0.0
2,6,0.688889,0.925926,high,0.764035,1.0,1,consensus,0.866667,0.710526,Candidate C,0.631579,0.947368,01_data/backup/backup_01/high/high_treatment_20260606_092841_004/metadata.json,0.928971,0.825752,0.631579,0.0,2,high_treatment_20260606_092841_004,0.452448,0.831114,0.626653,0.745141,0.598535,treatment,0.807456,0.807456,0.807675,0.807675,0.793596,0.793596,0.698867,1.0,217893,0,0.833333
1,6,0.511111,0.896296,high,0.530921,1.0,1,consensus,0.8,0.565789,Candidate C,0.473684,0.842105,01_data/backup/backup_01/high/high_treatment_20260606_092841_005/metadata.json,0.956259,0.478129,0.578947,0.0,2,high_treatment_20260606_092841_005,0.811732,0.73445,0.496239,0.71826,0.456021,treatment,0.711184,0.711184,0.694243,0.694243,0.667368,0.667368,0.647523,0.45,164241,0,0.5
2,6,0.444444,0.911111,high,0.444079,1.0,1,consensus,0.8,0.526316,Candidate C,0.421053,0.842105,01_data/backup/backup_01/high/high_treatment_20260606_092841_006/metadata.json,0.959517,0.479758,0.421053,0.0,2,high_treatment_20260606_092841_006,0.8,0.750629,0.63671,0.794869,0.356322,treatment,0.689474,0.689474,0.663454,0.663454,0.628289,0.628289,0.668465,0.45,188155,0,0.5
4,6,0.637037,0.933333,high,0.568421,1.0,0,consensus,0.533333,0.664474,Candidate B,0.578947,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_007/metadata.json,0.948221,0.579468,0.578947,0.0,2,high_treatment_20260606_092841_007,0.45,0.82314,0.537672,0.725891,0.802583,treatment,0.698794,0.698794,0.690943,0.690943,0.729145,0.729145,0.719445,1.0,254846,0,0.0
1,12,0.807407,1.0,high,0.199342,1.0,0,consensus,0.4,0.881579,Candidate A,0.842105,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_008/metadata.json,0.96075,0.74725,0.157895,0.0,4,high_treatment_20260606_092841_008,0.318687,0.831363,0.646641,0.707668,0.551825,treatment,0.784868,0.784868,0.706612,0.706612,0.774737,0.774737,0.67174,0.45,479431,0,0.0
2,6,0.562963,0.955556,high,0.555976,1.0,1,consensus,0.8,0.625,Candidate C,0.526316,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_009/metadata.json,0.925117,0.719536,0.315789,0.0,2,high_treatment_20260606_092841_009,0.630205,0.797539,0.705933,0.787626,0.48223,treatment,0.74375,0.74375,0.724646,0.724646,0.704945,0.704945,0.70202,0.8625,210289,0,0.833333
0,15,0.644444,1.0,high,0.366228,1.0,0,max_round_majority_vote,0.4,0.723684,Candidate B,0.631579,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_010/metadata.json,0.960245,0.853551,0.605263,0.0,5,high_treatment_20260606_092841_010,0.446465,0.774991,0.56183,0.735684,0.753096,treatment,0.698026,0.698026,0.660592,0.660592,0.721272,0.721272,0.697924,0.0,560942,0,0.166667
